treat	bias	n	k	subject	market	indexed	period	price	p1	p2	p3	p4
t1	u	3	3	8	1	T	9	0.95	0.7	0.7	0.6	0.5
t1	u	3	3	11	2	T	9	0.299	1	0.5	0.4	0.1
t1	u	3	3	6	2	T	9	0.3	0.4	0.3	0.3	0.4
t1	u	3	3	10	2	T	9	0.3	1	0.5	0.5	0.5
t1	u	3	3	12	3	T	9	0.375	0.6	0.6	0.7	0.7
t1	u	3	3	3	3	T	9	0.45	0.7	0.6	0.7	0.5
t1	u	3	3	18	3	T	9	1	0.8	0.8	0.8	0.8
t1	u	3	3	7	4	T	9	0.249	0.5	0.5	0.5	0.5
t1	u	3	3	13	4	T	9	0.299	0.5	0.4	0.5	0.5
t1	u	3	3	9	4	T	9	0.998	1	0.8	0.5	0.5
t1	u	3	3	15	5	T	9	0.646	0.5	0.6	0.6	0.5
t1	u	3	3	16	5	T	9	0.876	0.4	0.6	0.4	0.6
t1	u	3	3	5	5	T	9	1	0.5	0.6	0.7	0.6
t1	u	3	3	17	6	T	9	0.6	0.3	0.4	0.5	0.6
t1	u	3	3	2	6	T	9	0.947	0.7	0.6	0.8	0.8
t1	u	3	3	14	6	T	9	0.998	0.5	0.5	0.4	0.2
t1	u	3	3	17	1	T	10	0.195	0.3	0.4	0.5	0.6
t1	u	3	3	5	1	T	10	0.375	0.5	0.6	0.7	0.6
t1	u	3	3	9	1	T	10	0.998	1	0.8	0.5	0.5
t1	u	3	3	7	2	T	10	0.248	0.5	0.5	0.5	0.5
t1	u	3	3	6	2	T	10	0.28	0.4	0.3	0.3	0.4
t1	u	3	3	16	2	T	10	1	0.4	0.6	0.4	0.6
t1	u	3	3	10	3	T	10	0.299	1	0.5	0.5	0.5
t1	u	3	3	3	3	T	10	0.45	0.7	0.6	0.7	0.5
t1	u	3	3	13	3	T	10	0.499	0.5	0.4	0.5	0.5
t1	u	3	3	1	4	T	10	0.29	0.9	0.8	0.7	0.6
t1	u	3	3	11	4	T	10	0.299	1	0.5	0.4	0.1
t1	u	3	3	15	4	T	10	1	0.5	0.6	0.6	0.5
t1	u	3	3	12	5	T	10	0.385	0.6	0.6	0.7	0.7
t1	u	3	3	2	5	T	10	0.456	0.7	0.6	0.8	0.8
t1	u	3	3	8	5	T	10	1	0.7	0.7	0.6	0.5
t1	u	3	3	4	6	T	10	0.31	1	0.7	0.9	0.8
t1	u	3	3	18	6	T	10	0.31	0.8	0.8	0.8	0.8
t1	u	3	3	14	6	T	10	0.946	0.5	0.5	0.4	0.2
t1	u	3	3	17	1	T	11	0.12	0.3	0.4	0.5	0.6
t1	u	3	3	10	1	T	11	0.325	1	0.5	0.5	0.5
t1	u	3	3	8	1	T	11	0.36	0.7	0.7	0.6	0.5
t1	u	3	3	13	2	T	11	0.253	0.5	0.4	0.5	0.5
t1	u	3	3	18	2	T	11	0.31	0.8	0.8	0.8	0.8
t1	u	3	3	12	2	T	11	0.4	0.6	0.6	0.7	0.7
t1	u	3	3	6	3	T	11	0.275	0.4	0.3	0.3	0.4
t1	u	3	3	15	3	T	11	0.625	0.5	0.6	0.6	0.5
t1	u	3	3	5	3	T	11	0.955	0.5	0.6	0.7	0.6
t1	u	3	3	7	4	T	11	0.75	0.5	0.5	0.5	0.5
t1	u	3	3	2	4	T	11	0.903	0.7	0.6	0.8	0.8
t1	u	3	3	11	4	T	11	0.999	1	0.5	0.4	0.1
t1	u	3	3	1	5	T	11	0.295	0.9	0.8	0.7	0.6
t1	u	3	3	3	5	T	11	0.375	0.7	0.6	0.7	0.5
t1	u	3	3	16	5	T	11	0.512	0.4	0.6	0.4	0.6
t1	u	3	3	4	6	T	11	0.42	1	0.7	0.9	0.8
t1	u	3	3	9	6	T	11	0.998	1	0.8	0.5	0.5
t1	u	3	3	14	6	T	11	0.998	0.5	0.5	0.4	0.2
t1	u	3	3	18	1	T	12	0.243	0.8	0.8	0.8	0.8
t1	u	3	3	17	1	T	12	0.25	0.3	0.4	0.5	0.6
t1	u	3	3	12	1	T	12	0.399	0.6	0.6	0.7	0.7
t1	u	3	3	9	2	T	12	0.325	1	0.8	0.5	0.5
t1	u	3	3	10	2	T	12	0.325	1	0.5	0.5	0.5
t1	u	3	3	11	2	T	12	0.599	1	0.5	0.4	0.1
t1	u	3	3	5	3	T	12	0.25	0.5	0.6	0.7	0.6
t1	u	3	3	3	3	T	12	0.299	0.7	0.6	0.7	0.5
t1	u	3	3	7	3	T	12	0.749	0.5	0.5	0.5	0.5
t1	u	3	3	2	4	T	12	0.745	0.7	0.6	0.8	0.8
t1	u	3	3	14	4	T	12	0.996	0.5	0.5	0.4	0.2
t1	u	3	3	8	4	T	12	1	0.7	0.7	0.6	0.5
t1	u	3	3	15	5	T	12	0.225	0.5	0.6	0.6	0.5
t1	u	3	3	6	5	T	12	0.28	0.4	0.3	0.3	0.4
t1	u	3	3	16	5	T	12	1	0.4	0.6	0.4	0.6
t1	u	3	3	1	6	T	12	0.3	0.9	0.8	0.7	0.6
t1	u	3	3	4	6	T	12	0.375	1	0.7	0.9	0.8
t1	u	3	3	13	6	T	12	0.777	0.5	0.4	0.5	0.5
t1	u	3	3	7	1	T	13	0.249	0.5	0.5	0.5	0.5
t1	u	3	3	9	1	T	13	0.321	1	0.8	0.5	0.5
t1	u	3	3	5	1	T	13	0.65	0.5	0.6	0.7	0.6
t1	u	3	3	10	2	T	13	0.325	1	0.5	0.5	0.5
t1	u	3	3	11	2	T	13	0.349	1	0.5	0.4	0.1
t1	u	3	3	15	2	T	13	0.645	0.5	0.6	0.6	0.5
t1	u	3	3	1	3	T	13	0.3	0.9	0.8	0.7	0.6
t1	u	3	3	4	3	T	13	0.5	1	0.7	0.9	0.8
t1	u	3	3	14	3	T	13	0.599	0.5	0.5	0.4	0.2
t1	u	3	3	16	4	T	13	0.4	0.4	0.6	0.4	0.6
t1	u	3	3	8	4	T	13	0.499	0.7	0.7	0.6	0.5
t1	u	3	3	2	4	T	13	0.756	0.7	0.6	0.8	0.8
t1	u	3	3	6	5	T	13	0.25	0.4	0.3	0.3	0.4
t1	u	3	3	12	5	T	13	0.35	0.6	0.6	0.7	0.7
t1	u	3	3	13	5	T	13	0.626	0.5	0.4	0.5	0.5
t1	u	3	3	18	6	T	13	0.301	0.8	0.8	0.8	0.8
t1	u	3	3	17	6	T	13	0.46	0.3	0.4	0.5	0.6
t1	u	3	3	3	6	T	13	1	0.7	0.6	0.7	0.5
t1	u	3	3	13	1	T	14	0.219	0.5	0.4	0.5	0.5
t1	u	3	3	12	1	T	14	0.28	0.6	0.6	0.7	0.7
t1	u	3	3	5	1	T	14	0.989	0.5	0.6	0.7	0.6
t1	u	3	3	9	2	T	14	0.248	1	0.8	0.5	0.5
t1	u	3	3	11	2	T	14	0.324	1	0.5	0.4	0.1
t1	u	3	3	7	2	T	14	0.349	0.5	0.5	0.5	0.5
t1	u	3	3	3	3	T	14	0.274	0.7	0.6	0.7	0.5
t1	u	3	3	6	3	T	14	0.3	0.4	0.3	0.3	0.4
t1	u	3	3	2	3	T	14	0.659	0.7	0.6	0.8	0.8
t1	u	3	3	1	4	T	14	0.375	0.9	0.8	0.7	0.6
t1	u	3	3	15	4	T	14	0.644	0.5	0.6	0.6	0.5
t1	u	3	3	14	4	T	14	0.744	0.5	0.5	0.4	0.2
t1	u	3	3	10	5	T	14	0.325	1	0.5	0.5	0.5
t1	u	3	3	4	5	T	14	0.4	1	0.7	0.9	0.8
t1	u	3	3	16	5	T	14	0.45	0.4	0.6	0.4	0.6
t1	u	3	3	17	6	T	14	0.15	0.3	0.4	0.5	0.6
t1	u	3	3	8	6	T	14	1	0.7	0.7	0.6	0.5
t1	u	3	3	18	6	T	14	1	0.8	0.8	0.8	0.8
t1	u	3	3	8	1	T	15	0.4	0.7	0.7	0.6	0.5
t1	u	3	3	15	1	T	15	0.649	0.5	0.6	0.6	0.5
t1	u	3	3	13	1	T	15	0.876	0.5	0.4	0.5	0.5
t1	u	3	3	12	2	T	15	0.245	0.6	0.6	0.7	0.7
t1	u	3	3	9	2	T	15	0.248	1	0.8	0.5	0.5
t1	u	3	3	3	2	T	15	0.274	0.7	0.6	0.7	0.5
t1	u	3	3	11	3	T	15	0.225	1	0.5	0.4	0.1
t1	u	3	3	1	3	T	15	0.37	0.9	0.8	0.7	0.6
t1	u	3	3	18	3	T	15	1	0.8	0.8	0.8	0.8
t1	u	3	3	7	4	T	15	0.233	0.5	0.5	0.5	0.5
t1	u	3	3	10	4	T	15	0.325	1	0.5	0.5	0.5
t1	u	3	3	16	4	T	15	1	0.4	0.6	0.4	0.6
t1	u	3	3	17	5	T	15	0.26	0.3	0.4	0.5	0.6
t1	u	3	3	4	5	T	15	0.375	1	0.7	0.9	0.8
t1	u	3	3	14	5	T	15	0.998	0.5	0.5	0.4	0.2
t1	u	3	3	5	6	T	15	0.2	0.5	0.6	0.7	0.6
t1	u	3	3	6	6	T	15	0.29	0.4	0.3	0.3	0.4
t1	u	3	3	2	6	T	15	0.912	0.7	0.6	0.8	0.8
t1	u	3	3	18	1	T	16	0.27	0.8	0.8	0.8	0.8
t1	u	3	3	10	1	T	16	0.325	1	0.5	0.5	0.5
t1	u	3	3	7	1	T	16	0.749	0.5	0.5	0.5	0.5
t1	u	3	3	11	2	T	16	0.299	1	0.5	0.4	0.1
